label,nucleus_volume_um3,gfap_volume_um3,mean_gfap_intensity,total_process_length_um,num_branches,territory_volume_um3,sholl_max_intersections
266,200.57740245331206,42.34090700203201,161.89078498293514,6.222018474473173,4,178.8770854972085,2
267,245.08593268070408,4.190738235696001,126.27586206896552,3.034714377046244,3,222.10912649188808,3
268,204.91264890403207,2.3121314403840008,137.125,1.3859000000000001,2,175.74607417168792,1
274,164.30584048228806,1.3005739352160004,97.77777777777777,0.0,0,139.6190204156886,2
281,160.11510224659204,0.14450821502400005,81.0,0.0,0,136.0544844450962,1
282,138.29436177796805,75.43328824252802,145.19731800766283,17.97670502804472,9,113.67979581888024,1
283,166.90698835272005,0.5780328600960002,147.5,0.0,0,140.05254506076034,1
291,93.06329047545603,0.0,0.0,0.0,0,75.33694943251207,0
295,110.11525984828803,1.4450821502400004,91.9,1.7647000000000002,3,88.27043467715988,3
296,201.73346817350406,35.40451268088001,122.18775510204081,11.806474597937328,9,183.26050135293627,8
297,160.54862689166404,0.0,0.0,0.0,0,135.0670116424324,0
298,79.62402647822402,1.1560657201920004,135.875,0.0,0,61.825431327767845,2
299,112.42739128867204,0.0,0.0,0.0,0,89.66734742239187,0
302,118.93026096475204,58.52582708472002,168.5358024691358,12.854332442768863,6,97.03726638861599,2
303,121.53140883518404,17.919018662976004,130.2983870967742,5.464418474473173,5,95.73669245339975,5
309,93.64132333555203,0.0,0.0,0.0,0,74.56623895238415,0
310,84.10378114396802,58.67033529974402,183.4039408866995,21.16806287287626,12,67.34082820118408,1
322,112.71640771872003,1.0115575051680004,122.57142857142857,2.2123832015417344,1,79.88895820576786,2
